"video_title","area","afinidad_politica"
"El Método Rebord #56 - Andy Chango","artista","NaN"
"El Método Rebord #55 - Juan Pablo Varsky","periodista","NaN"
"El Método Rebord #54 - Migue Granados","humorista","NaN"
"El Método Rebord #53 - Carlos Melconian","político","cambiemos"
"El Método Rebord #52 - Beatriz Sarlo","intelectual","NaN"
"El Método Rebord #51 - Santiago Korovsky","artista","NaN"
"El Método Rebord #50 - Alberto Fernández","político","peronismo"
"El Método Rebord #49 - Sofi Morandi","artista","NaN"
"El Método Rebord #48 - Alejandro Dolina","artista","NaN"
"El Método Rebord #47 - Máximo Kirchner","político","peronismo"
"El Método Rebord #46 - Emmanuel Alvarez Agis","político","peronismo"
"El Método Rebord #45 - El Bananero","humorista","NaN"
"Conclave #3 - Luquitas Rodriguez y Guille Aquino","humorista","NaN"
"El Método Rebord #44 - Osvaldo Carnival","religion","NaN"
"El Método Rebord #43 - Mariana Enríquez","artista","NaN"
"El Método Rebord #42 - Cristian Ritondo","político","cambiemos"
"Cónclave #2 - Santi Maratea y Ofelia Fernández","político","NaN"
"Cónclave #1 - Carlos Maslatón e Iván Schargrodsky","político","liberal"
"El Método Rebord #41 - Emmanuel Horvilleur","artista","NaN"
"El Método Rebord #40 - Sergio Berni","político","peronismo"
"El Método Rebord #39 - Paulina Cocina","influencer","NaN"
"El Método Rebord #38 - Jorge &quot;El Turco&quot; Asis","intelectual","NaN"
"El Método Rebord #37 - Fernando Vaca Narvaja","político","peronismo"
"El Método Rebord #36 - Santi Maratea","influencer","NaN"
"El Método Rebord #35 - Carlos Pagni","periodista","NaN"
"El Método Rebord #34 - Jorge Capitanich","político","peronismo"
"El Método Rebord #33 - Jorge Altamira","político","izquierda"
"El Método Rebord #32 - Juan Grabois","político","peronismo"
"El Método Rebord #31- Felipe Pigna","intelectual","NaN"
"El Método Rebord #30 - Maria O&#39;Donnell","periodista","NaN"
"El Método Rebord #29 - Guillermo Moreno","político","peronismo"
"El Método Rebord #28 - Fernando &quot;Pato&quot; Galmarini","político","peronismo"
"El Método Rebord #27 - Franco Rinaldi","político","liberal"
"El Metodo Rebord #26 - Julia Mengolini","periodista","NaN"
"El Metodo Rebord #25 - Juariu (Vicky Braier)","influencer","NaN"
"El Método Rebord #24 - Dillom","artista","NaN"
"El Método Rebord #23 - Sergio Chodos","político","NaN"
"El Método Rebord #22 -  Cumbio (Agustina Vivero)","artista","NaN"
"El Método Rebord #21 - Mario Pergolini","periodista","NaN"
"El Método Rebord #20 - Carlos Corach","político","peronismo"
"El Método Rebord #19 - Gustavo Grobocopatel","político","NaN"
"El Método Rebord #57 - Julio de Vido","político","peronismo"
"El Método Rebord #18 - Marcela Feudale","periodista","NaN"
"El Método Rebord #17 - Iván Schargrodsky","periodista","NaN"
"El Método Rebord #16 - Damián Kuc","influencer","NaN"
"El Método Rebord #15 - Leandro Santoro","político","peronismo"
"El Método Rebord #14 - Diego Lagomarsino","político","NaN"
"El Método Rebord #13 - Adrián Lakerman","humorista","NaN"
"El Método Rebord #12 - Matías Kulfas","político","peronismo"
"El Método Rebord #11 - Juan Cruz Komar","futbolista","NaN"
"El Método Rebord #10 - Nati Jota","influencer","NaN"
"El Método Rebord #9 - Mayra Arena","político","peronismo"
"El Método Rebord #8 - Fede Simonetti","humorista","NaN"
"El Método Rebord #7 - Carlos Maslatón","político","liberal"
"El Método Rebord #6 - Georgina Orellano","político","NaN"
"El Método Rebord #5 - Guille Aquino","humorista","NaN"
"El Método Rebord #4 - Ofelia Fernández","político","peronismo"
"El Método Rebord #3 - Noelia Custodio","periodista","NaN"
"El Método Rebord #2 - Pedro Rosemblat","político","peronismo"
"El Método Rebord #58 - Germán Beder","humorista","NaN"
"El Método Rebord #60 - Connie Ballarini","humorista","NaN"
"El Método Rebord #59 - Martín Garabal","humorista","NaN"
"El Método Rebord #1 - Luquitas Rodríguez","humorista","NaN"
